Date,Title of Activity,Type of Activity,#Participants,#Downloads,"Province/
Region",Municipality/City,District,Status,Facilitator,AAR,GDrive Link,,,
"January 7-9, 2026",eGov Marketing during the eLGU BPLS Renewal and Cedula Application at LGU Cauayan,Marketing,23,23,Isabela,Cauayan,,Done,EA,Done,https://drive.google.com/drive/folders/1WqRpS2aA1X5FLBLbYNtWZPchfLcUYi6K?usp=sharing,,Marketing,10
"January 8, 2025",eGov Orientation with DICT R2 Interns,Orientation,31,31,Cagayan,Tuguegarao City,3rd,Done,JC,Done,"
https://drive.google.com/drive/folders/1F9603vSC81MQq-4u1nuhEWO3Pve17jCp?usp=sharing",,Orientation,14
"January 9,2026","eGov Orientation with MTO and LCR staff of LGU Mahatao, Batanes",Orientation,7,5,Batanes,Mahatao,LONE,Done,Ali,Done,https://drive.google.com/drive/folders/1lm4NpGfhYC-Q60nGDeMf6MWHXUz__gce?usp=sharing,,Downloads,374
"January 14, 2026",eGovPh Orientation for Interns from Batanes National Science High School,Orientation,5,5,Batanes,Basco,LONE,Done,Ali,Done,https://drive.google.com/drive/folders/1Vi-gqfEehPRxxxhf0EFW64lxT7W6Xoek?usp=sharing,,Participants,516
"January 14, 2026",eGovPh Orientation for Interns from Aldersgate High School at DICT-NVPO,Orientation,4,4,Nueva Vizcaya,,LONE,Done,Namsu,,https://drive.google.com/drive/folders/16WOupeW-p0lxC6sx8Drq0Z_MlOACH2rx?usp=sharing,,,
"January 16, 19-20, 2026",eGov Onsite Assistance and marketing at LGU Alcala,Marketing,48,46,Cagayan,Alcala,3rd,Done,Christian,Done,https://drive.google.com/drive/folders/1XZ0f0N1Q5jV2cunWqH6km5pQL_j1QfNB?usp=sharing,,,
"January 19, 2026",GovPH Orientation for interns from BONFAL National Highschool & IFSU at DICT-NVPO,Orientation,9,9,Nueva Vizcaya,,LONE,Done,Namsu,,https://drive.google.com/drive/folders/1cNDg2oJIOhAVowFTHKgggiw65U79-O0O?usp=sharing,,,
"January 22, 2026",eGov MArketing at QSU Diffun Quirino,Marketing,52,52,Quirino,Diffun,LONE,Done,Sha,Done,https://drive.google.com/drive/folders/1-u2t861rt5aWSKhn7PNXvAvnTThIvUtN?usp=sharing,,,
"January 23, 2026",eGov MArketing at QSU Cabarroguis Quirino,Marketing,,,Quirino,Cabarroguis,LONE,Done,Sha,Done,,,,
"January 27, 2026","eGovPH Marketing during the Launching of the ""JuanSIM ng Bayan Program - Bayanihan SIM Project"" at the Garit Sur Elementary School, Echague, Isabela",Marketing,28,28,Isabela,Echague,,Done,EA,Done,https://drive.google.com/drive/folders/1BzEWt9p2r9J8owGiGqTSQgzTJdSK1bi-?usp=sharing,,,
"January 26,2026",eGov Orientation and onsite assistance to the employees of CHR R2,Orientation,19,19,Cagayan,Tuguegarao City,3rd,Done,JC,Done,https://drive.google.com/drive/folders/1EX4pW9GWa_q-EmqCgat0AFHRI1ASgNfw?usp=sharing,,,
"January 26,2026",eGovPH Orientation for interns from NVGCHS at DICT-NVPO,Orientation,5,5,Nueva Vizcaya,,LONE,Done,Namsu,,https://drive.google.com/drive/folders/1UgdbIwBvknaAOFwwJVpFczxticpJtEKo?usp=sharing,,,
"January 27,2026",eGov Orientation and onsite assistance to the employees of BFP R2,Orientation,26,15,Cagayan,Tuguegarao City,3rd,Done,JC,Done,https://drive.google.com/drive/folders/1L0JMUbNm2Pc1cNI0q-k4eKwPWfCVnHMg?usp=sharing,,,
"Febraury 2, 2026","eGov Marketing during the conducted the Seminar on AI Ethics and Cyber Resilience: A Practical Framework for Healthcare Workers in Kayapa, Nueva Vizcaya",Marketing,29,29,Nueva Vizcaya,,LONE,Done,Namsu,,https://drive.google.com/drive/folders/1s23xjzWzRHtxbron2rQhkdTWW4cEZSc7?usp=sharing,,,
"February 3, 2026","eGovPH App Marketing during the Launching of the ""JuanSIM ng Bayan Program - Bayanihan SIM Project"" at Union Elementary School, Gamu, Isabela",Marketing,16,16,Isabela,Gamu,,Done,EA,Done,https://drive.google.com/drive/folders/1peoLGKbaZWsniqUCv8vm_9g1z-BxzPwX?usp=sharing,,,
"February 5, 2026",eGov Orientation and Onsite assistance to the employees of LGU Lal-Lo,Orientation,23,16,Cagayan,Lal-lo,1st,Done,Caldez,Done,https://drive.google.com/drive/folders/1W0DTOy8ZISNID0xWCvYYKo1Wcdn0Qze-?usp=drive_link,,,
"February 4, 2026","Promotion of eGov app during the Quirino Police Provincial Road Safety Summit 2026 at Provincial Capitol Gym, Cabarroguis, Quirino",Marketing,20,20,Quirino,Cabarroguis,LONE,Done,Sha,Done,https://drive.google.com/drive/folders/1x5DzoX3z1-zBaH9aYYoDBQqD06sgMJnn?usp=drive_link,,,
"February 5-6, 2026",eGovPH Marketing at QSU Diffun during the Triangular Meet 2026 ,Marketing,42,42,Quirino,Diffun,LONE,Done,Sha,Done,https://drive.google.com/drive/folders/15T_TytV4fugLsDaVtPXWGHPXgARpneP_?usp=drive_link,,,
"February 9, 2026",eGovPH Orientation in Quirino Police Provincial Office for IT Department,Orientation,19,,Quirino,Aglipay,LONE,Done,Sha,,https://drive.google.com/drive/folders/13GAr-GVurzUeApa22DXdISnpEyOzk9uZ?usp=drive_link,,,
"February 10, 2026",eGovPH Orientation to the immesion student from Cauayan City Stand-Alone Senior High School and OJT of ISU Cauayan,Orientation,13,9,Isabela,Cauayan City,,Done,EA,Done,https://drive.google.com/drive/folders/1ARN3CdheqnG1vrHY1DYGo65knA8ZzjHn?usp=drive_link,,,
"February 10-12, 2026",eGov Marketing during the University Meet 2026 at CSU Carig Tuguegarao City,Marketing,97,,Cagayan,Tuguegarao City,3rd,Done,JC,,,,,
"February 16, 2026",eGov Orientation at COA Region 2,Orientation,,,Cagayan,Tuguegarao City,3rd,,,,,,,
"February 16, 2026",eGov Orientation at DILG Region 2,Orientation,,,Cagayan,Tuguegarao City,3rd,,,,,,,
"February 24, 2026",eGov Orientation at SDO Cagayan via Gmeet,Orientation,,,Cagayan,Tuguegarao City,3rd,,,,,,,